COUNTY,TX_SIGNED_HIGHWAY_RDBD_ID,TX_CONDITION_SCORE,TX_DISTRESS_SCORE,TX_RIDE_SCORE,TX_AADT_CURRENT,TX_MAINTENANCE_COST_AMT
Anderson,SH0155 K,76.71,98.38,2.95,10937.71,161.73
Anderson,SL0256 K,57.0,100.0,2.22,12919.45,0.07
Anderson,US0079 A,100.0,100.0,3.05,499.0,175.29
Anderson,US0079 K,83.79,94.97,3.18,10265.42,518.68
Anderson,US0079 L,96.19,100.0,3.32,4784.25,1222.03
Anderson,US0079 R,92.68,97.73,3.41,4729.55,1342.71
Anderson,US0079 X,100.0,100.0,3.09,499.0,50.0
Anderson,US0287 K,100.0,100.0,3.2,2909.0,120.0
Angelina,BU0059GL,0.44,100.0,0.01,3905.48,13.21
Angelina,BU0059GR,59.41,100.0,2.51,3419.86,26.28
Angelina,BU0069JK,14.0,100.0,1.0,2340.0,67.5
Angelina,BU0069JL,71.57,99.9,2.18,1526.78,1274.8
Angelina,BU0069JR,54.34,92.6,1.82,1579.6,119.07
Angelina,FM1877 K,100.0,100.0,2.73,404.0,15.0
Angelina,FM2021 K,58.0,100.0,2.0,669.0,28.0
Angelina,FM3521 K,99.5,100.0,2.7,655.0,84.03
Angelina,SH0094 K,49.97,100.0,1.83,3324.89,1557.01
Angelina,SH0103 L,25.67,100.0,1.75,8541.0,78.5
Angelina,SH0103 R,19.67,100.0,0.83,8541.0,78.5
Angelina,SH0147 K,53.0,100.0,1.9,1189.0,8016.0
Angelina,SL0210 K,37.45,73.62,1.84,2318.26,0.0
Angelina,SL0287 L,89.58,100.0,3.08,16068.55,14158.27
Angelina,SL0287 R,76.52,97.96,2.8,16068.55,14158.27
Angelina,SL0287 X,82.5,100.0,2.71,2206.0,7512.0
Angelina,US0059 A,98.03,99.91,3.28,5002.51,7678.71
Angelina,US0059 K,99.91,100.0,4.14,33113.29,18008.01
Angelina,US0059 L,96.09,99.88,3.64,16605.41,6015.36
Angelina,US0059 R,85.59,98.92,3.29,16832.93,6042.25
Angelina,US0059 X,96.33,96.71,3.32,2220.75,5229.4
Angelina,US0069 A,79.67,99.97,2.55,2983.48,859.25
Angelina,US0069 L,89.2,99.44,3.05,6937.15,1103.44
Angelina,US0069 R,93.49,97.94,3.23,6928.98,1289.17
Angelina,US0069 X,81.0,99.77,2.56,2993.48,860.11
Aransas,SH0035 K,,,3.07,7255.5,191.96
Archer,SH0079 K,45.8,69.35,2.7,4781.9,430.15
Austin,IH0010 A,85.78,85.91,3.85,792.78,44.21
Austin,IH0010 L,95.18,95.18,3.94,25369.13,12.74
Austin,IH0010 R,93.63,93.63,3.97,25150.23,13.81
Austin,IH0010 X,96.75,96.75,4.13,1389.0,17.23
Bailey,US0084 K,12.0,87.25,1.43,9079.0,101.0
Baylor,US0183 K,90.0,100.0,3.0,7916.67,51.33
Bell,FM0935 K,34.51,100.0,1.52,1142.78,266.24
Bell,FM1237 K,79.5,100.0,2.36,1973.0,1351.0
Bell,FM1741 K,46.15,100.0,2.25,31491.76,98.07
Bell,FM1741 L,49.6,100.0,2.33,16093.71,36.74
Bell,FM2115 K,60.06,100.0,2.01,575.72,1.0
Bell,FM2268 K,48.34,100.0,1.76,1233.24,
Bell,FM2670 K,61.89,100.0,2.06,1129.52,67.5
Bell,FM3481 K,,,3.03,3932.0,
Bell,IH0035 A,92.82,94.67,3.62,3669.94,2890.63
Bell,IH0035 L,98.18,98.23,4.04,34215.52,2719.78
Bell,IH0035 R,99.32,99.49,4.06,34071.06,2719.05
Bell,IH0035 X,93.78,95.53,3.58,3792.48,3063.49
Bell,SH0036 A,78.4,95.15,2.87,7836.52,181.0
Bell,SH0036 K,100.0,100.0,3.52,10593.3,12641.17
Bell,SH0036 X,100.0,100.0,3.3,7398.0,424.67
Bell,SH0053 K,64.86,100.0,2.59,9531.86,76.14
Bell,SH0095 K,,,2.58,5782.0,13.0
Bell,SL0363 A,100.0,100.0,3.94,499.0,67.86
Bell,SL0363 K,99.85,100.0,3.74,15409.43,2632.02
Bell,SL0363 L,100.0,100.0,3.69,6978.11,79.59
Bell,SL0363 R,99.03,99.03,3.76,6950.8,81.54
Bell,SL0363 X,98.9,99.14,3.74,499.0,61.68
Bell,SS0290 K,95.0,100.0,3.1,6415.0,58.0
Bell,SS0290 L,100.0,100.0,2.85,3208.0,71.0
Bell,SS0290 R,99.5,99.5,3.62,3228.74,37772.78
Bexar,FM1535 L,53.0,100.0,2.4,12720.0,4.0
Bexar,FM1535 R,,,2.9,12720.0,4.0
Bexar,IH0010 A,88.25,100.0,3.68,3614.25,10.75
Bexar,IH0010 L,83.54,94.29,3.29,77121.13,1009.32
Bexar,IH0010 R,89.41,94.87,3.49,74660.63,994.08
Bexar,IH0010 X,29.0,100.0,1.89,8977.0,490.0
Bexar,IH0035 L,64.39,78.37,3.23,74682.05,1254.41
Bexar,IH0035 R,54.08,73.22,2.93,76154.06,1555.12
Bexar,IH0037 A,28.69,100.0,1.77,6219.56,1914.61
Bexar,IH0410 L,75.75,86.56,3.38,77123.5,2474.59
Bexar,IH0410 R,85.34,93.87,3.27,81137.76,2768.73
Bexar,PA1502 L,63.0,100.0,2.55,24489.0,
Bexar,SL0345 K,35.0,97.0,2.05,19331.0,
Bexar,SL1604 L,95.58,95.58,4.2,30215.6,588.05
Bexar,SL1604 R,85.58,100.0,3.38,29385.0,586.41
Bexar,US0281 L,89.15,100.0,3.37,46193.77,615.6
Bexar,US0281 R,99.36,100.0,3.88,45729.7,686.05
Bowie,FM0558 K,95.5,95.5,2.92,2767.5,981.5
Bowie,FM0559 K,72.68,87.55,2.93,18607.84,1370.67
Bowie,FM0559 L,20.29,99.65,1.63,14496.08,428.83
Bowie,FM0559 R,5.51,95.79,1.01,14501.37,478.09
Bowie,FM0989 K,89.89,100.0,3.0,4006.85,1.58
Bowie,FM1397 K,60.61,85.55,2.71,13308.2,928.87
Bowie,FM1840 K,38.3,100.0,1.59,2204.13,935.68
Bowie,FM2253 K,99.67,99.83,3.09,2650.53,1941.1
Bowie,FM2878 K,81.15,100.0,2.57,2973.68,101.28
Bowie,IH0030 A,92.81,98.57,3.21,10601.74,1316.26
Bowie,IH0030 L,0.0,0.0,4.0,8302.32,586.48
Bowie,IH0030 R,0.0,0.0,4.05,8299.75,586.48
Bowie,IH0030 X,90.07,97.93,2.98,4528.12,2187.0
Bowie,IH0369 A,29.25,94.5,1.88,6967.75,5280.5
Bowie,IH0369 L,69.9,91.97,2.79,13370.92,976.28
Bowie,IH0369 R,68.23,84.55,2.98,13628.63,1490.88
Bowie,IH0369 X,34.5,100.0,1.97,6271.0,
